Package,APK_Path,Category,Risk_Score
com.android.providers.contactkeys,/system/priv-app/E2eeContactKeysProvider/E2eeContactKeysProvider.apk,Other,0
com.android.providers.contacts,/system/priv-app/ContactsProvider/ContactsProvider.apk,Other,0
com.android.providers.downloads,/system/priv-app/DownloadProvider/DownloadProvider.apk,Other,0
com.android.providers.downloads.ui,/system/priv-app/DownloadProviderUi/DownloadProviderUi.apk,Other,0
com.android.providers.media,/system/priv-app/MediaProviderLegacy/MediaProviderLegacy.apk,Other,0
com.android.providers.partnerbookmarks,/system/priv-app/PartnerBookmarksProvider/PartnerBookmarksProvider.apk,Other,0
com.android.providers.settings,/system/priv-app/SettingsProvider/SettingsProvider.apk,Other,0
com.android.providers.settings.auto_generated_rro_product__,/product/overlay/SettingsProvider__fogo_g__auto_generated_rro_product.apk,Other,0
com.android.providers.settings.overlay.tmo,/product/overlay/SettingsProvider-rro-tmo.apk,Other,0
com.android.providers.telephony,/system/priv-app/TelephonyProvider/TelephonyProvider.apk,Other,0
com.android.providers.telephony.overlay.carriersettings,/product/overlay/TelephonyProviderCarrierSettingsRRO.apk,Other,0
com.android.providers.userdictionary,/system/priv-app/UserDictionaryProvider/UserDictionaryProvider.apk,Other,0
com.android.proxyhandler,/system/priv-app/ProxyHandler/ProxyHandler.apk,Other,0
com.android.rkpdapp,/apex/com.android.rkpd/priv-app/rkpdapp@V1UFN35M.193-20/rkpdapp.apk,Other,0
com.android.role.notes.enabled,/product/overlay/NotesRoleEnabled/NotesRoleEnabledOverlay.apk,Other,0
com.android.se,/system/app/SecureElement/SecureElement.apk,Other,0
com.android.server.telecom,/system/priv-app/Telecom/Telecom.apk,Other,0
com.android.settings,/system_ext/priv-app/SettingsMoto/SettingsMoto.apk,Other,0
com.android.settings.auto_generated_rro_product__,/product/overlay/SettingsMoto__fogo_g__auto_generated_rro_product.apk,Other,0
com.android.settings.intelligence,/product/priv-app/SettingsIntelligence/SettingsIntelligence.apk,Other,0
com.android.sharedstoragebackup,/system/priv-app/SharedStorageBackup/SharedStorageBackup.apk,Other,0
com.android.shell,/system/priv-app/Shell/Shell.apk,Other,0
com.android.simappdialog,/system/app/SimAppDialog/SimAppDialog.apk,Other,0
com.android.smspush,/system_ext/app/WAPPushManager/WAPPushManager.apk,Other,0
com.android.soundpicker,/system/priv-app/SoundPicker/SoundPicker.apk,Other,0
com.android.stk,/system/app/Stk/Stk.apk,Other,0
com.android.storagemanager,/system_ext/priv-app/StorageManager/StorageManager.apk,Other,0
com.android.systemui,/system_ext/priv-app/SystemUI/SystemUI.apk,Other,0
com.android.systemui.accessibility.accessibilitymenu,/system_ext/app/AccessibilityMenu/AccessibilityMenu.apk,Other,0
com.android.systemui.accessibility.accessibilitymenu.auto_generated_rro_product__,/product/overlay/AccessibilityMenu__fogo_g__auto_generated_rro_product.apk,Other,0
com.android.systemui.auto_generated_rro_product__,/product/overlay/SystemUI__fogo_g__auto_generated_rro_product.apk,Other,0
com.android.systemui.auto_generated_rro_vendor__,/vendor/overlay/SystemUI__auto_generated_rro_vendor.apk,Other,0
com.android.systemui.plugin.globalactions.wallet,/system_ext/priv-app/QuickAccessWallet/QuickAccessWallet.apk,Other,0
com.android.theme.font.Exo2Regular,/product/overlay/FontExo2RegularSource/FontExo2RegularSourceOverlay.apk,Other,0
com.android.theme.font.RobotoSlabRegular,/product/overlay/FontRobotoSlabRegular/FontRobotoSlabRegularOverlay.apk,Other,0
com.android.theme.font.RookeryRegular,/product/overlay/FontRookeryRegular/FontRookeryRegularOverlay.apk,Other,0
com.android.theme.font.SpaceGrotesk,/product/overlay/FontSpaceGroteskSource/FontSpaceGroteskSourceOverlay.apk,Other,0
com.android.theme.font.WorkSans,/product/overlay/FontWorkSansSource/FontWorkSansSourceOverlay.apk,Other,0
com.android.theme.icon.pebble,/product/overlay/IconShapePebble/IconShapePebbleOverlay.apk,Other,0
com.android.theme.icon.round,/product/overlay/IconShapeRound/IconShapeRoundOverlay.apk,Other,0
com.android.theme.icon.roundedrect,/product/overlay/IconShapeRoundedRect/IconShapeRoundedRectOverlay.apk,Other,0
com.android.theme.icon.teardrop,/product/overlay/IconShapeTeardrop/IconShapeTeardropOverlay.apk,Other,0
com.android.traceur,/system/app/Traceur/Traceur.apk,Other,0
com.android.uwb.resources,/apex/com.android.uwb/priv-app/ServiceUwbResources@V1UFN35M.193-20/ServiceUwbResources.apk,Other,0
com.android.virtualmachine.res,/apex/com.android.virt/app/android.system.virtualmachine.res@V1UFN35M.193-20/android.system.virtualmachine.res.apk,Other,0
com.android.vpndialogs,/system/priv-app/VpnDialogs/VpnDialogs.apk,Other,0
com.android.wallpaper.livepicker,/system/priv-app/LiveWallpapersPicker/LiveWallpapersPicker.apk,Other,0
com.android.wallpaperbackup,/system/app/WallpaperBackup/WallpaperBackup.apk,Other,0
com.android.wallpapercropper,/system_ext/priv-app/WallpaperCropper/WallpaperCropper.apk,Other,0
com.android.wifi.resources.overlay.motCommon,/product/overlay/WifiResCommonOverlay.apk,Other,0
com.android.wifi.resources.overlay.WifiResScanCountryCode,/product/overlay/WifiResScanCountryCode.apk,Other,0
com.android.wifi.resources.overlay.WifiTmoOverlay,/product/overlay/WifiTmoOverlay.apk,Other,0
com.att.csoiam.mobilekey,/product/priv-app/AttMobileKey/AttMobileKey.apk,Other,0
com.att.deviceunlock,/product/priv-app/DeviceUnlock/DeviceUnlock.apk,Other,0
com.att.dh,/product/priv-app/AttDeviceHelp/AttDeviceHelp.apk,Other,0
com.att.iqi,/system_ext/priv-app/AttIqi/AttIqi.apk,Other,0
com.att.mobile.android.vvm,/product/priv-app/AttVisualVoicemail/AttVisualVoicemail.apk,Other,0
com.att.personalcloud,/product/priv-app/AttPersonalCloud/AttPersonalCloud.apk,Other,0
com.aura.appadvisor.att,/system/priv-app/AuraAppAdvisorAtt/AuraAppAdvisorAtt.apk,Other,0
com.aura.appadvisor.cricket,/product/app/AuraAppAdvisorCricket/AuraAppAdvisorCricket.apk,Other,0
com.aura.jet.att,/system/app/AuraJetAtt/AuraJetAtt.apk,Other,0
com.aura.oobe.dish,/product/priv-app/DishAppCloud/DishAppCloud.apk,Other,0
com.aura.oobe.motorola,/product/priv-app/AppCloudOobeMotorolaStub/AppCloudOobeMotorolaStub.apk,Other,0
com.aura.oobe.solutions,/product/priv-app/AuraAppServices/AuraAppServices.apk,Other,0
com.aura.services.tmobile,/product/app/AuraServices/AuraServices.apk,Other,0
com.bluetooth.aptxmode,/system_ext/priv-app/MotoBtAptxMode/MotoBtAptxMode.apk,Other,0
com.cricketwireless.minus,/product/priv-app/CricketMinusOne/CricketMinusOne.apk,Other,0
com.cricketwireless.thescoop,/product/app/TheScoop/TheScoop.apk,Other,0
com.dish.vvm,/product/priv-app/DishVVM/DishVVM.apk,Other,0
com.dish.wireless.activation,/product/priv-app/DishNetworkCompanionApp/DishNetworkCompanionApp.apk,Other,0
com.dish.wireless.carrierapp,/product/priv-app/DishCarrierApp/DishCarrierApp.apk,Other,0
com.dish.wireless.installer,/product/priv-app/DishInstallerApp/DishInstallerApp.apk,Other,0
com.dolby.daxservice,/system_ext/priv-app/daxService/daxService.apk,Other,0
com.facebook.appmanager,/product/app/facebook-appmanager/facebook-appmanager.apk,Other,0
com.facebook.services,/product/priv-app/facebook-services/facebook-services.apk,Other,0
com.facebook.system,/product/priv-app/facebook-installer/facebook-installer.apk,Other,0
com.google.android.adservices.api,/apex/com.android.adservices/priv-app/AdServicesApkGoogle@360738140/AdServicesApkGoogle.apk,Other,0
com.google.android.apps.cbrsnetworkmonitor,/product/priv-app/CbrsNetworkMonitor/CbrsNetworkMonitor.apk,Other,0
com.google.android.apps.scone,/product/priv-app/SCONE/SCONE.apk,Other,0
com.google.android.apps.turbo,/product/priv-app/Turbo/Turbo.apk,Other,0
com.google.android.apps.tycho,/product/app/Tycho/Tycho.apk,Other,0
com.google.android.apps.wallpaper,/system_ext/priv-app/GoogleWallpapers/GoogleWallpapers.apk,Other,0
com.google.android.appsearch.apk,/apex/com.android.appsearch/priv-app/com.google.android.appsearch.apk@360743400/com.google.android.appsearch.apk.apk,Other,0
com.google.android.carrier,/product/priv-app/CarrierSettings/CarrierSettings.apk,Other,0
com.google.android.cellbroadcastreceiver,/apex/com.android.cellbroadcast/priv-app/GoogleCellBroadcastApp@360735060/GoogleCellBroadcastApp.apk,Other,0
com.google.android.cellbroadcastservice,/apex/com.android.cellbroadcast/priv-app/GoogleCellBroadcastServiceModule@360735060/GoogleCellBroadcastServiceModule.apk,Other,0
com.google.android.configupdater,/product/priv-app/ConfigUpdater/ConfigUpdater.apk,Other,0
com.google.android.connectivity.resources,/apex/com.android.tethering/priv-app/ServiceConnectivityResourcesGoogle@360743340/ServiceConnectivityResourcesGoogle.apk,Other,0
com.google.android.contacts,/product/app/GoogleContacts/GoogleContacts.apk,Other,0
com.google.android.devicelockcontroller,/apex/com.android.devicelock/priv-app/DeviceLockControllerGoogle@342410000/DeviceLockControllerGoogle.apk,Other,0
com.google.android.dialer,/product/priv-app/GoogleDialer/GoogleDialer.apk,Other,0
com.google.android.ext.services,/apex/com.android.extservices/priv-app/GoogleExtServices@360737100/GoogleExtServices.apk,Other,0
com.google.android.ext.shared,/system/app/GoogleExtShared/GoogleExtShared.apk,Other,0
com.google.android.federatedcompute,/apex/com.android.ondevicepersonalization/app/FederatedComputeGoogle@360738140/FederatedComputeGoogle.apk,Other,0
com.google.android.feedback,/system_ext/priv-app/GoogleFeedback/GoogleFeedback.apk,Other,0
com.google.android.gms.location.history,/product/app/GoogleLocationHistory/GoogleLocationHistory.apk,Other,0
com.google.android.gms.supervision,/product/priv-app/FamilyLinkParentalControls/FamilyLinkParentalControls.apk,Other,0
com.google.android.gsf,/system_ext/priv-app/GoogleServicesFramework/GoogleServicesFramework.apk,Other,0
com.google.android.health.connect.backuprestore,/apex/com.android.healthfitness/app/HealthConnectBackupRestoreGoogle@360745040/HealthConnectBackupRestoreGoogle.apk,Other,0
com.google.android.healthconnect.controller,/apex/com.android.healthfitness/priv-app/HealthConnectControllerGoogle@360745040/HealthConnectControllerGoogle.apk,Other,0
com.google.android.hotspot2.osulogin,/apex/com.android.wifi/app/OsuLoginGoogle@360735060/OsuLoginGoogle.apk,Other,0
com.google.android.networkstack.tethering,/apex/com.android.tethering/priv-app/TetheringGoogle@360743340/TetheringGoogle.apk,Other,0
